name,schema_name,url,base_diff_pct,refresh_diff_pct,cls_after_click,cls_after_manual,status,error,pre_click_png,post_click_png,post_refresh_png,base_diff_png,refresh_diff_png
Dawn,,https://theme-dawn-demo.myshopify.com/products/bo-ivy-black,,,,,ERROR,Navigation timeout of 60000 ms exceeded,C:\Users\aman\Desktop\shopify-theme\e2e\out\dawn\pre_click.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\dawn\post_click.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\dawn\post_refresh.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\dawn\base_diff.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\dawn\refresh_diff.png
Nest,Mr Parker,https://mrparkerdemo.myshopify.com/collections/bed-bath/products/unikko-f-q-duvet-set,11.9833,53.8873,0.0002706656234728357,0.0625342278801642,NO-PASS,refresh_nonzero_change,C:\Users\aman\Desktop\shopify-theme\e2e\out\nest\pre_click.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\nest\post_click.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\nest\post_refresh.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\nest\base_diff.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\nest\refresh_diff.png
Balance,,https://impact-theme-shape.myshopify.com/products/infinity-bra-navy-blue,,,,,ERROR,Navigation timeout of 60000 ms exceeded,C:\Users\aman\Desktop\shopify-theme\e2e\out\balance\pre_click.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\balance\post_click.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\balance\post_refresh.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\balance\base_diff.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\balance\refresh_diff.png
Pillar,Hyper,https://hyper-pillar.myshopify.com/products/breezy-sock,28.3344,54.3552,0,0.0011186944444444443,NO-PASS,refresh_nonzero_change,C:\Users\aman\Desktop\shopify-theme\e2e\out\pillar\pre_click.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\pillar\post_click.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\pillar\post_refresh.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\pillar\base_diff.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\pillar\refresh_diff.png
Flora,Grid,https://grid-theme-light.myshopify.com/collections/clearance/products/finn-jumpsuit-poppy?variant=32029844832330,20.5858,,0.023580932760376778,,ERROR,no_variant_available,C:\Users\aman\Desktop\shopify-theme\e2e\out\flora\pre_click.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\flora\post_click.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\flora\post_refresh.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\flora\base_diff.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\flora\refresh_diff.png
Jellybean,,https://uplift-theme-myshopify.com/products/beanie-lion,,,,,ERROR,net::ERR_NAME_NOT_RESOLVED at https://uplift-theme-myshopify.com/products/beanie-lion,C:\Users\aman\Desktop\shopify-theme\e2e\out\jellybean\pre_click.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\jellybean\post_click.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\jellybean\post_refresh.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\jellybean\base_diff.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\jellybean\refresh_diff.png
Dawn,Dawn,https://theme-dawn-demo.myshopify.com/products/bo-ivy-black,1.4850,5.4890,0,0,NO-PASS,refresh_nonzero_change,C:\Users\aman\Desktop\shopify-theme\e2e\out\dawn\pre_click.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\dawn\post_click.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\dawn\post_refresh.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\dawn\base_diff.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\dawn\refresh_diff.png
Nest,,https://mrparkerdemo.myshopify.com/collections/bed-bath/products/unikko-f-q-duvet-set,,,,,ERROR,Attempted to use detached Frame '188FA72680D643E02F314C03DA94D2C6'.,C:\Users\aman\Desktop\shopify-theme\e2e\out\nest\pre_click.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\nest\post_click.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\nest\post_refresh.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\nest\base_diff.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\nest\refresh_diff.png
Dawn,Dawn,https://theme-dawn-demo.myshopify.com/products/bo-ivy-black,1.4704,5.4744,0,0.0007147814706831374,NO-PASS,refresh_nonzero_change,C:\Users\aman\Desktop\shopify-theme\e2e\out\dawn\pre_click.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\dawn\post_click.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\dawn\post_refresh.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\dawn\base_diff.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\dawn\refresh_diff.png
Nest,Mr Parker,https://mrparkerdemo.myshopify.com/collections/bed-bath/products/unikko-f-q-duvet-set,7.5267,53.6965,0,0.06551365505955625,NO-PASS,refresh_nonzero_change,C:\Users\aman\Desktop\shopify-theme\e2e\out\nest\pre_click.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\nest\post_click.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\nest\post_refresh.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\nest\base_diff.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\nest\refresh_diff.png
